Frame,GreenViewIndex
frame_1006,0.0490
frame_1007,0.0484
frame_1008,0.0468
frame_1009,0.0444
frame_1010,0.0430
frame_1011,0.0416
frame_1012,0.0398
frame_1013,0.0409
frame_1014,0.0396
frame_1015,0.0397
frame_1016,0.0398
frame_1017,0.0410
frame_1018,0.0435
frame_1019,0.0444
frame_1020,0.0490
frame_1021,0.0458
frame_1022,0.0447
frame_1023,0.0412
frame_1024,0.0399
frame_1025,0.0344
frame_1026,0.0321
frame_1027,0.0319
frame_1028,0.0317
frame_1029,0.0330
frame_1030,0.0341
frame_1031,0.0347
frame_1032,0.0372
frame_1033,0.0354
frame_1034,0.0348
frame_1035,0.0350
frame_1036,0.0403
frame_1037,0.0402
frame_1038,0.0427
frame_1039,0.0469
frame_1040,0.0469
frame_1041,0.0514
frame_1042,0.0626
frame_1043,0.0684
frame_1044,0.0724
frame_1045,0.0649
frame_1046,0.0624
frame_1047,0.0580
frame_1048,0.0587
frame_1049,0.0550
frame_1050,0.0537
frame_1051,0.0511
frame_1052,0.0522
frame_1053,0.0517
frame_1054,0.0527
frame_1055,0.0579
frame_1056,0.0595
frame_1057,0.0640
frame_1058,0.0551
frame_1059,0.0399
frame_1060,0.0314
frame_1061,0.0241
frame_1062,0.0218
frame_1063,0.0214
frame_1064,0.0213
frame_1065,0.0216
frame_1066,0.0233
frame_1067,0.0222
frame_1068,0.0188
frame_1069,0.0196
frame_1070,0.0208
frame_1071,0.0210
frame_1072,0.0222
frame_1073,0.0219
frame_1074,0.0230
frame_1075,0.0241
frame_1076,0.0249
frame_1077,0.0250
frame_1078,0.0262
frame_1079,0.0254
frame_1080,0.0261
frame_1081,0.0281
frame_1082,0.0272
frame_1083,0.0286
frame_1084,0.0309
frame_1085,0.0312
frame_1086,0.0361
frame_1087,0.0418
frame_1088,0.0547
frame_1089,0.0570
frame_1090,0.0597
frame_1091,0.0634
frame_1092,0.0631
frame_1093,0.0691
frame_1094,0.0710
frame_1095,0.0697
frame_1096,0.0749
frame_1097,0.0832
frame_1098,0.0928
frame_1099,0.0961
frame_1100,0.0964
frame_1101,0.0974
frame_1102,0.0948
frame_1103,0.0893
frame_1104,0.0859
frame_1105,0.0861
frame_1106,0.0862
frame_1107,0.0887
frame_1108,0.0893
frame_1109,0.0926
frame_1110,0.1007
frame_1111,0.1039
frame_1112,0.1125
frame_1113,0.1219
frame_1114,0.1303
frame_1115,0.1362
frame_1116,0.1467
frame_1117,0.1539
frame_1118,0.1652
frame_1119,0.1738
frame_1120,0.1932
frame_1121,0.2094
frame_1122,0.2268
frame_1123,0.2506
frame_1124,0.2851
frame_1125,0.2973
frame_1126,0.3107
frame_1127,0.3230
frame_1128,0.3292
frame_1129,0.3563
frame_1130,0.3717
frame_1131,0.3711
frame_1132,0.3605
frame_1133,0.3499
frame_1134,0.3452
frame_1135,0.3397
frame_1136,0.3404
frame_1137,0.3453
frame_1138,0.3441
frame_1139,0.3467
frame_1140,0.3418
frame_1141,0.3444
frame_1142,0.3468
frame_1143,0.3465
frame_1144,0.3450
frame_1145,0.3493
frame_1146,0.3531
frame_1147,0.3551
frame_1148,0.3658
frame_1149,0.3685
frame_1150,0.3672
frame_1151,0.3718
frame_1152,0.3671
frame_1153,0.3549
frame_1154,0.3405
frame_1155,0.3406
frame_1156,0.3326
frame_1157,0.3239
frame_1158,0.3170
frame_1159,0.3128
frame_1160,0.3082
frame_1161,0.3083
frame_1162,0.3105
frame_1163,0.3134
frame_1164,0.3165
frame_1165,0.3268
frame_1166,0.3416
frame_1167,0.3460
frame_1168,0.3269
frame_1169,0.3120
frame_1170,0.3056
frame_1171,0.2885
frame_1172,0.2777
frame_1173,0.2694
frame_1174,0.2635
frame_1175,0.2638
frame_1176,0.2568
frame_1177,0.2520
frame_1178,0.2524
frame_1179,0.2478
frame_1180,0.2418
frame_1181,0.2417
frame_1182,0.2358
frame_1183,0.2366
frame_1184,0.2398
frame_1185,0.2417
frame_1186,0.2451
frame_1187,0.2530
frame_1188,0.2573
frame_1189,0.2672
frame_1190,0.2722
frame_1191,0.2830
frame_1192,0.2890
frame_1193,0.2988
frame_1194,0.3245
frame_1195,0.3409
frame_1196,0.3452
frame_1197,0.3517
frame_1198,0.3536
frame_1199,0.3602
frame_1200,0.3709
frame_1201,0.3755
frame_1202,0.3904
frame_1203,0.3958
frame_1204,0.3936
frame_1205,0.3829
frame_1206,0.3684
frame_1207,0.3596
frame_1208,0.3557
frame_1209,0.3580
frame_1210,0.3768
frame_1211,0.3659
frame_1212,0.3567
frame_1213,0.3436
frame_1214,0.3306
frame_1215,0.3249
frame_1216,0.3084
frame_1217,0.2988
frame_1218,0.2921
frame_1219,0.2729
frame_1220,0.2638
frame_1221,0.2587
frame_1222,0.2546
frame_1223,0.2432
frame_1224,0.2445
frame_1225,0.2382
frame_1226,0.2242
frame_1227,0.2168
frame_1228,0.2090
frame_1229,0.2004
frame_1230,0.2066
frame_1231,0.1957
frame_1232,0.2013
frame_1233,0.2121
frame_1234,0.2185
frame_1235,0.2179
frame_1236,0.2135
frame_1237,0.2024
frame_1238,0.2003
frame_1239,0.1930
frame_1240,0.1885
frame_1241,0.1856
frame_1242,0.1872
frame_1243,0.1819
frame_1244,0.1801
frame_1245,0.1811
frame_1246,0.1800
frame_1247,0.1779
frame_1248,0.1764
frame_1249,0.1750
frame_1250,0.1695
frame_1251,0.1687
frame_1252,0.1650
frame_1253,0.1617
frame_1254,0.1604
frame_1255,0.1601
frame_1256,0.1542
frame_1257,0.1525
frame_1258,0.1461
frame_1259,0.1435
